,Unnamed: 0_x,COUNTRY,Country,Data type,Year,Value,Unnamed: 0_y,Continent
0,0,AUS,Australia,Death within 30 days,2000,1817.0,11,OC
1,1,AUS,Australia,Death within 30 days,2001,1737.0,11,OC
2,2,AUS,Australia,Death within 30 days,2002,1715.0,11,OC
3,3,AUS,Australia,Death within 30 days,2003,1621.0,11,OC
4,4,AUS,Australia,Death within 30 days,2004,1583.0,11,OC
5,5,AUS,Australia,Death within 30 days,2005,1627.0,11,OC
6,6,AUS,Australia,Death within 30 days,2006,1602.0,11,OC
7,7,AUS,Australia,Death within 30 days,2007,1603.0,11,OC
8,8,AUS,Australia,Death within 30 days,2008,1437.0,11,OC
9,9,AUS,Australia,Death within 30 days,2009,1490.0,11,OC
10,10,AUS,Australia,Death within 30 days,2010,1350.0,11,OC
11,11,AUS,Australia,Death within 30 days,2011,1277.0,11,OC
12,12,AUS,Australia,Death within 30 days,2012,1299.0,11,OC
13,13,AUS,Australia,Death within 30 days,2013,1185.0,11,OC
14,14,AUS,Australia,Death within 30 days,2014,1151.0,11,OC
15,15,AUS,Australia,Death within 30 days,2015,1205.0,11,OC
16,16,AUS,Australia,Death within 30 days,2016,1294.0,11,OC
17,17,AUS,Australia,Death within 30 days,2017,1225.0,11,OC
18,18,AUS,Australia,Death within 30 days,2018,1136.0,11,OC
19,19,AUS,Australia,Death within 30 days,2000,9.5486830962874,11,OC
20,20,AUS,Australia,Death within 30 days,2001,9.0118129458921,11,OC
21,21,AUS,Australia,Death within 30 days,2002,8.7970327070085,11,OC
22,22,AUS,Australia,Death within 30 days,2003,8.2197739364406,11,OC
23,23,AUS,Australia,Death within 30 days,2004,7.9417151355445,11,OC
24,24,AUS,Australia,Death within 30 days,2005,8.0636991592937,11,OC
25,25,AUS,Australia,Death within 30 days,2006,7.8333708050759006,11,OC
26,26,AUS,Australia,Death within 30 days,2007,7.6965099520243,11,OC
27,27,AUS,Australia,Death within 30 days,2008,6.762607851712401,11,OC
28,28,AUS,Australia,Death within 30 days,2009,6.869001638556499,11,OC
29,29,AUS,Australia,Death within 30 days,2010,6.1275205101728,11,OC
30,30,AUS,Australia,Death within 30 days,2011,5.7161979772269,11,OC
31,31,AUS,Australia,Death within 30 days,2012,5.7140431518029,11,OC
32,32,AUS,Australia,Death within 30 days,2013,5.123631055499598,11,OC
33,33,AUS,Australia,Death within 30 days,2014,4.9029451152141,11,OC
34,34,AUS,Australia,Death within 30 days,2015,5.0596248445635,11,OC
35,35,AUS,Australia,Death within 30 days,2016,5.3491173356997,11,OC
36,36,AUS,Australia,Death within 30 days,2017,4.979298313217,11,OC
37,37,AUS,Australia,Death within 30 days,2018,4.5471488096077,11,OC
38,1268,AUS,Australia,Death within 30 days,2000,114.0,11,OC
39,1269,AUS,Australia,Death within 30 days,2001,88.0,11,OC
40,1270,AUS,Australia,Death within 30 days,2002,84.0,11,OC
41,1271,AUS,Australia,Death within 30 days,2003,106.0,11,OC
42,1272,AUS,Australia,Death within 30 days,2004,78.0,11,OC
43,1273,AUS,Australia,Death within 30 days,2005,76.0,11,OC
44,1274,AUS,Australia,Death within 30 days,2006,77.0,11,OC
45,1275,AUS,Australia,Death within 30 days,2007,66.0,11,OC
46,1276,AUS,Australia,Death within 30 days,2008,52.0,11,OC
47,1277,AUS,Australia,Death within 30 days,2009,70.0,11,OC
48,1278,AUS,Australia,Death within 30 days,2010,56.0,11,OC
49,1279,AUS,Australia,Death within 30 days,2011,60.0,11,OC
50,1280,AUS,Australia,Death within 30 days,2012,48.0,11,OC
51,1281,AUS,Australia,Death within 30 days,2013,50.0,11,OC
52,1282,AUS,Australia,Death within 30 days,2014,53.0,11,OC
53,1283,AUS,Australia,Death within 30 days,2015,42.0,11,OC
54,1284,AUS,Australia,Death within 30 days,2016,42.0,11,OC
55,1285,AUS,Australia,Death within 30 days,2017,32.0,11,OC
56,1286,AUS,Australia,Death within 30 days,2018,35.0,11,OC
57,1287,AUS,Australia,Death within 30 days,2000,2.8909488449138,11,OC
58,1288,AUS,Australia,Death within 30 days,2001,2.2220914779509,11,OC
59,1289,AUS,Australia,Death within 30 days,2002,2.1187477393718,11,OC
60,1290,AUS,Australia,Death within 30 days,2003,2.6702478216698,11,OC
61,1291,AUS,Australia,Death within 30 days,2004,1.962647299196,11,OC
62,1292,AUS,Australia,Death within 30 days,2005,1.9079221698297,11,OC
63,1293,AUS,Australia,Death within 30 days,2006,1.923851941354,11,OC
64,1294,AUS,Australia,Death within 30 days,2007,1.6308936728986,11,OC
65,1295,AUS,Australia,Death within 30 days,2008,1.2680155751328,11,OC
66,1296,AUS,Australia,Death within 30 days,2009,1.6834854883551005,11,OC
67,1297,AUS,Australia,Death within 30 days,2010,1.3337467948397,11,OC
68,1298,AUS,Australia,Death within 30 days,2011,1.4172292082436002,11,OC
69,1299,AUS,Australia,Death within 30 days,2012,1.1152431903948,11,OC
70,1300,AUS,Australia,Death within 30 days,2013,1.1420933108508,11,OC
71,1301,AUS,Australia,Death within 30 days,2014,1.1937684386545,11,OC
72,1302,AUS,Australia,Death within 30 days,2015,0.93343352186468,11,OC
73,1303,AUS,Australia,Death within 30 days,2016,0.9185152332471,11,OC
74,1304,AUS,Australia,Death within 30 days,2017,0.6897877781677,11,OC
75,1305,AUS,Australia,Death within 30 days,2018,0.7458313355708299,11,OC
76,2488,AUS,Australia,Death within 30 days,2000,51.0,11,OC
77,2489,AUS,Australia,Death within 30 days,2001,36.0,11,OC
78,2490,AUS,Australia,Death within 30 days,2002,30.0,11,OC
79,2491,AUS,Australia,Death within 30 days,2003,48.0,11,OC
80,2492,AUS,Australia,Death within 30 days,2004,28.0,11,OC
81,2493,AUS,Australia,Death within 30 days,2005,39.0,11,OC
82,2494,AUS,Australia,Death within 30 days,2006,37.0,11,OC
83,2495,AUS,Australia,Death within 30 days,2007,28.0,11,OC
84,2496,AUS,Australia,Death within 30 days,2008,24.0,11,OC
85,2497,AUS,Australia,Death within 30 days,2009,33.0,11,OC
86,2498,AUS,Australia,Death within 30 days,2010,26.0,11,OC
87,2499,AUS,Australia,Death within 30 days,2011,38.0,11,OC
88,2500,AUS,Australia,Death within 30 days,2012,18.0,11,OC
89,2501,AUS,Australia,Death within 30 days,2013,19.0,11,OC
90,2502,AUS,Australia,Death within 30 days,2014,29.0,11,OC
91,2503,AUS,Australia,Death within 30 days,2015,15.0,11,OC
92,2504,AUS,Australia,Death within 30 days,2016,22.0,11,OC
93,2505,AUS,Australia,Death within 30 days,2017,16.0,11,OC
94,2506,AUS,Australia,Death within 30 days,2018,12.0,11,OC
95,2507,AUS,Australia,Death within 30 days,2000,3.3113829763749,11,OC
96,2508,AUS,Australia,Death within 30 days,2001,2.3434052020992,11,OC
97,2509,AUS,Australia,Death within 30 days,2002,1.9606215693207,11,OC
98,2510,AUS,Australia,Death within 30 days,2003,3.1427866172289,11,OC
99,2511,AUS,Australia,Death within 30 days,2004,1.8297412680499,11,OC
100,2512,AUS,Australia,Death within 30 days,2005,2.5339401795199,11,OC
101,2513,AUS,Australia,Death within 30 days,2006,2.3772320281259,11,OC
102,2514,AUS,Australia,Death within 30 days,2007,1.7534378340533998,11,OC
103,2515,AUS,Australia,Death within 30 days,2008,1.4581094274673,11,OC
104,2516,AUS,Australia,Death within 30 days,2009,1.9473840436072,11,OC
105,2517,AUS,Australia,Death within 30 days,2010,1.5028076492909,11,OC
106,2518,AUS,Australia,Death within 30 days,2011,2.1754475553981,11,OC
107,2519,AUS,Australia,Death within 30 days,2012,1.0065402750315,11,OC
108,2520,AUS,Australia,Death within 30 days,2013,1.0402295074787,11,OC
109,2521,AUS,Australia,Death within 30 days,2014,1.5694993243035,11,OC
110,2522,AUS,Australia,Death within 30 days,2015,0.80397140434509,11,OC
111,2523,AUS,Australia,Death within 30 days,2016,1.1650925560118,11,OC
112,2524,AUS,Australia,Death within 30 days,2017,0.8432965304672501,11,OC
113,2525,AUS,Australia,Death within 30 days,2018,0.63281326629731,11,OC
114,3702,AUS,Australia,Death within 30 days,2000,17.0,11,OC
115,3703,AUS,Australia,Death within 30 days,2001,19.0,11,OC
116,3704,AUS,Australia,Death within 30 days,2002,16.0,11,OC
117,3705,AUS,Australia,Death within 30 days,2003,25.0,11,OC
118,3706,AUS,Australia,Death within 30 days,2004,18.0,11,OC
119,3707,AUS,Australia,Death within 30 days,2005,18.0,11,OC
120,3708,AUS,Australia,Death within 30 days,2006,14.0,11,OC
121,3709,AUS,Australia,Death within 30 days,2007,9.0,11,OC
122,3710,AUS,Australia,Death within 30 days,2008,12.0,11,OC
123,3711,AUS,Australia,Death within 30 days,2009,14.0,11,OC
124,3712,AUS,Australia,Death within 30 days,2010,13.0,11,OC
125,3713,AUS,Australia,Death within 30 days,2011,9.0,11,OC
126,3714,AUS,Australia,Death within 30 days,2012,13.0,11,OC
127,3715,AUS,Australia,Death within 30 days,2013,19.0,11,OC
128,3716,AUS,Australia,Death within 30 days,2014,11.0,11,OC
129,3717,AUS,Australia,Death within 30 days,2015,10.0,11,OC
130,3718,AUS,Australia,Death within 30 days,2016,5.0,11,OC
131,3719,AUS,Australia,Death within 30 days,2017,8.0,11,OC
132,3720,AUS,Australia,Death within 30 days,2018,9.0,11,OC
133,3721,AUS,Australia,Death within 30 days,2000,1.5814394820321,11,OC
134,3722,AUS,Australia,Death within 30 days,2001,1.7592885807356,11,OC
135,3723,AUS,Australia,Death within 30 days,2002,1.4865108431674998,11,OC
136,3724,AUS,Australia,Death within 30 days,2003,2.3331538360315003,11,OC
137,3725,AUS,Australia,Death within 30 days,2004,1.6910649763533,11,OC
138,3726,AUS,Australia,Death within 30 days,2005,1.6989546709455,11,OC
139,3727,AUS,Australia,Death within 30 days,2006,1.3177537193598998,11,OC
140,3728,AUS,Australia,Death within 30 days,2007,0.8433441406323199,11,OC
141,3729,AUS,Australia,Death within 30 days,2008,1.1196024664842,11,OC
142,3730,AUS,Australia,Death within 30 days,2009,1.299662180666,11,OC
143,3731,AUS,Australia,Death within 30 days,2010,1.199152475927,11,OC
144,3732,AUS,Australia,Death within 30 days,2011,0.81894045483953,11,OC
