,Country,Year,Legal blood alcohol concentration (BAC) limits for young/novice drivers,Alpha-3 code
0,Afghanistan,2016,0.0,AFG
1,Albania,2016,0.01,ALB
2,Algeria,2016,0.02,DZA
3,Andorra,2016,0.05,AND
4,Angola,2016,0.06,AGO
5,Antigua and Barbuda,2016,0.0,ATG
6,Argentina,2016,0.05,ARG
7,Armenia,2016,0.08,ARM
8,Australia,2016,0.0,AUS
9,Austria,2016,0.01,AUT
10,Azerbaijan,2016,0.0,AZE
11,Bahamas,2016,0.08,BHS
12,Bangladesh,2016,0.0,BGD
13,Barbados,2016,0.0,BRB
14,Belarus,2016,0.03,BLR
15,Belgium,2016,0.05,BEL
16,Belize,2016,0.08,BLZ
17,Benin,2016,0.05,BEN
18,Bhutan,2016,0.0,BTN
19,Bosnia and Herzegovina,2016,0.0,BIH
20,Botswana,2016,0.05,BWA
21,Brazil,2016,0.0,BRA
22,Bulgaria,2016,0.05,BGR
23,Burkina Faso,2016,0.05,BFA
24,Burundi,2016,0.0,BDI
25,Cambodia,2016,0.05,KHM
26,Cameroon,2016,0.08,CMR
27,Canada,2016,0.08,CAN
28,Central African Republic,2016,0.08,CAF
29,Chad,2016,0.08,TCD
30,Chile,2016,0.03,CHL
31,China,2016,0.02,CHN
32,Colombia,2016,0.02,COL
33,Comoros,2016,0.0,COM
34,Congo,2016,0.08,COG
35,Cook Islands,2016,0.08,COK
36,Costa Rica,2016,0.02,CRI
37,Côte d'Ivoire,2016,0.08,CIV
38,Croatia,2016,0.0,HRV
39,Cuba,2016,0.01,CUB
40,Cyprus,2016,0.02,CYP
41,Denmark,2016,0.05,DNK
42,Djibouti,2016,0.0,DJI
43,Dominica,2016,0.08,DMA
44,Dominican Republic,2016,0.05,DOM
45,Ecuador,2016,0.03,ECU
46,Egypt,2016,0.0,EGY
47,El Salvador,2016,0.05,SLV
48,Equatorial Guinea,2016,0.05,GNQ
49,Eritrea,2016,0.05,ERI
50,Estonia,2016,0.02,EST
51,Ethiopia,2016,0.08,ETH
52,Fiji,2016,0.0,FJI
53,Finland,2016,0.05,FIN
54,France,2016,0.02,FRA
55,Gabon,2016,0.08,GAB
56,Gambia,2016,0.0,GMB
57,Georgia,2016,0.03,GEO
58,Germany,2016,0.0,DEU
59,Ghana,2016,0.08,GHA
60,Greece,2016,0.02,GRC
61,Grenada,2016,0.0,GRD
62,Guatemala,2016,0.0,GTM
63,Guinea,2016,0.08,GIN
64,Guinea-Bissau,2016,0.0,GNB
65,Guyana,2016,0.08,GUY
66,Honduras,2016,0.07,HND
67,Hungary,2016,0.0,HUN
68,Iceland,2016,0.05,ISL
69,India,2016,0.03,IND
70,Indonesia,2016,0.0,IDN
71,Iraq,2016,0.04,IRQ
72,Ireland,2016,0.02,IRL
73,Israel,2016,0.01,ISR
74,Italy,2016,0.0,ITA
75,Jamaica,2016,0.08,JAM
76,Japan,2016,0.03,JPN
77,Jordan,2016,0.08,JOR
78,Kazakhstan,2016,0.0,KAZ
79,Kenya,2016,0.08,KEN
80,Kiribati,2016,0.08,KIR
81,Lao People's Democratic Republic,2016,0.05,LAO
82,Latvia,2016,0.02,LVA
83,Lebanon,2016,0.0,LBN
84,Lesotho,2016,0.08,LSO
85,Liberia,2016,0.0,LBR
86,Lithuania,2016,0.0,LTU
87,Luxembourg,2016,0.02,LUX
88,Madagascar,2016,0.04,MDG
89,Malawi,2016,0.08,MWI
90,Malaysia,2016,0.08,MYS
91,Maldives,2016,0.0,MDV
92,Mali,2016,0.03,MLI
93,Malta,2016,0.08,MLT
94,Marshall Islands,2016,0.0,MHL
95,Mauritania,2016,0.0,MRT
96,Mauritius,2016,0.05,MUS
97,Mexico,2016,0.0,MEX
98,Monaco,2016,0.02,MCO
99,Mongolia,2016,0.05,MNG
100,Montenegro,2016,0.03,MNE
101,Morocco,2016,0.02,MAR
102,Mozambique,2016,0.06,MOZ
103,Myanmar,2016,0.08,MMR
104,Namibia,2016,0.08,NAM
105,Netherlands,2016,0.02,NLD
106,New Zealand,2016,0.0,NZL
107,Nicaragua,2016,0.05,NIC
108,Niger,2016,0.0,NER
