,Unnamed: 0,Country,Year,"15-19 years old, current drinkers both sexes (%)","15-19 years old, current males drinkers (%)","15-19 years old, current females drinkers (%)",Alpha-3 code,Continent
0,0,Afghanistan,2016,0.3,0.5,0.1,AFG,AS
1,1,Albania,2016,37.7,50.5,24.2,ALB,EU
2,2,Algeria,2016,1.5,2.3,0.7,DZA,AF
3,3,Andorra,2016,64.2,76.6,50.7,AND,EU
4,4,Angola,2016,33.5,46.0,21.1,AGO,AF
5,5,Antigua and Barbuda,2016,35.3,47.9,22.4,ATG,
6,6,Argentina,2016,54.5,68.2,40.3,ARG,SA
7,7,Armenia,2016,16.3,23.5,8.8,ARM,AS
8,7,Armenia,2016,16.3,23.5,8.8,ARM,EU
9,8,Australia,2016,69.3,80.8,57.0,AUS,OC
10,9,Austria,2016,68.1,80.0,55.7,AUT,EU
11,10,Azerbaijan,2016,12.8,18.2,6.5,AZE,AS
12,10,Azerbaijan,2016,12.8,18.2,6.5,AZE,EU
13,11,Bahamas,2016,29.8,41.2,18.0,BHS,
14,12,Bahrain,2016,3.8,5.4,1.8,BHR,AS
15,13,Bangladesh,2016,1.3,2.1,0.5,BGD,AS
16,14,Barbados,2016,37.5,50.4,24.2,BRB,
17,15,Belarus,2016,58.0,66.1,49.4,BLR,EU
18,16,Belgium,2016,66.2,78.5,53.4,BEL,EU
19,17,Belize,2016,27.3,38.3,16.3,BLZ,
20,18,Benin,2016,15.3,22.2,8.4,BEN,AF
21,19,Bhutan,2016,16.8,24.3,9.2,BTN,AS
22,20,Bosnia and Herzegovina,2016,34.4,46.5,21.5,BIH,EU
23,21,Botswana,2016,19.3,27.7,10.7,BWA,AF
24,22,Brazil,2016,26.8,37.4,15.8,BRA,SA
25,23,Brunei Darussalam,2016,24.5,29.7,18.9,BRN,AS
26,24,Bulgaria,2016,54.1,67.7,39.6,BGR,EU
27,25,Burkina Faso,2016,24.4,35.1,13.3,BFA,AF
28,26,Burundi,2016,19.4,28.1,10.9,BDI,AF
29,27,Cambodia,2016,19.2,27.5,10.6,KHM,AS
30,28,Cameroon,2016,26.1,37.6,14.5,CMR,AF
31,29,Canada,2016,51.7,65.4,37.2,CAN,
32,30,Central African Republic,2016,24.4,34.6,14.3,CAF,AF
33,31,Chad,2016,13.3,19.4,7.1,TCD,AF
34,32,Chile,2016,54.4,68.1,40.1,CHL,SA
35,33,China,2016,41.2,52.9,27.9,CHN,AS
36,34,Colombia,2016,25.0,35.1,14.5,COL,SA
37,35,Comoros,2016,2.0,3.0,0.9,COM,AF
38,36,Congo,2016,36.9,49.9,23.8,COG,AF
39,37,Cook Islands,2016,36.0,48.7,22.9,COK,OC
40,38,Costa Rica,2016,23.7,33.4,13.6,CRI,
41,39,Côte d'Ivoire,2016,25.2,36.4,13.9,CIV,AF
42,40,Croatia,2016,47.4,61.1,33.0,HRV,EU
43,41,Cuba,2016,32.5,44.2,19.9,CUB,
44,42,Cyprus,2016,55.3,68.8,40.9,CYP,AS
45,42,Cyprus,2016,55.3,68.8,40.9,CYP,EU
46,43,Denmark,2016,63.9,76.5,50.6,DNK,EU
47,44,Djibouti,2016,11.0,16.1,5.7,DJI,AF
48,45,Dominica,2016,31.3,42.9,19.1,DMA,
49,46,Dominican Republic,2016,29.1,40.4,17.5,DOM,
50,47,Ecuador,2016,32.2,44.1,19.8,ECU,SA
51,48,Egypt,2016,1.4,2.1,0.7,EGY,AF
52,48,Egypt,2016,1.4,2.1,0.7,EGY,AS
53,49,El Salvador,2016,19.0,27.4,10.6,SLV,
54,50,Equatorial Guinea,2016,59.3,72.8,45.6,GNQ,AF
55,51,Eritrea,2016,11.5,16.8,6.0,ERI,AF
56,52,Estonia,2016,62.3,75.2,48.8,EST,EU
57,53,Ethiopia,2016,13.3,19.5,7.1,ETH,AF
58,54,Fiji,2016,9.9,14.4,5.0,FJI,OC
59,55,Finland,2016,61.9,74.9,48.3,FIN,EU
60,56,France,2016,65.4,77.8,52.4,FRA,EU
61,57,Gabon,2016,52.3,66.3,38.1,GAB,AF
62,58,Gambia,2016,15.9,23.1,8.8,GMB,AF
63,59,Georgia,2016,23.6,33.0,13.4,GEO,AS
64,59,Georgia,2016,23.6,33.0,13.4,GEO,EU
65,60,Germany,2016,70.2,81.6,58.2,DEU,EU
66,61,Ghana,2016,15.4,22.2,8.3,GHA,AF
67,62,Greece,2016,53.4,67.2,39.1,GRC,EU
68,63,Grenada,2016,34.9,47.2,21.9,GRD,
69,64,Guatemala,2016,16.9,24.4,9.2,GTM,
70,65,Guinea,2016,12.6,18.3,6.7,GIN,AF
71,66,Guinea-Bissau,2016,17.2,24.8,9.6,GNB,AF
72,67,Guyana,2016,26.1,36.7,15.4,GUY,SA
73,68,Haiti,2016,22.4,31.9,12.8,HTI,
74,69,Honduras,2016,18.3,26.3,10.1,HND,
75,70,Hungary,2016,54.6,68.2,40.2,HUN,EU
76,71,Iceland,2016,59.2,72.5,45.3,ISL,EU
77,72,India,2016,25.2,34.9,14.4,IND,AS
